Paper_No,Molecular_Markers,Paper_ID,Year_sampled,IUCN_Category3,Sampling_size,Latitude,Latitude_Clade,Longitude,He,He_fit
P65_28,AFLP,Kwong_et_al,2011,Common,6,30.942,North_temper,-88.024,0.28,0.234845462
P65_29,AFLP,Kwong_et_al,2011,Common,18,34.367,North_temper,-86.225,0.25,0.220875314
P65_30,AFLP,Kwong_et_al,2011,Common,13,33.437,North_temper,-87.38,0.29,0.231925129
P65_31,AFLP,Kwong_et_al,2011,Common,16,33.564,North_temper,-91.384,0.21,0.185036049
P65_32,AFLP,Kwong_et_al,2011,Common,10,34.252,North_temper,-91.983,0.28,0.189009748
P65_33,AFLP,Kwong_et_al,2011,Common,9,34.049,North_temper,-91.642,0.25,0.182980272
P65_34,AFLP,Kwong_et_al,2011,Common,4,34.847,North_temper,-92.464,0.28,0.200324916
P65_35,AFLP,Kwong_et_al,2011,Common,20,32.72,North_temper,-94.116,0.31,0.224304411
P65_36,AFLP,Kwong_et_al,2011,Common,18,31.955,North_temper,-81.32,0.24,0.264346863
P65_37,AFLP,Kwong_et_al,2011,Common,14,33.125,North_temper,-91.003,0.24,0.194017356
P65_38,AFLP,Kwong_et_al,2011,Common,19,32.479,North_temper,-91.062,0.28,0.18291705
P65_39,AFLP,Kwong_et_al,2011,Common,19,32.149,North_temper,-91.705,0.28,0.178878296
P65_40,AFLP,Kwong_et_al,2011,Common,8,32.458,North_temper,-92.203,0.3,0.199012527
P65_41,AFLP,Kwong_et_al,2011,Common,9,32.556,North_temper,-92.075,0.3,0.208706976
P65_42,AFLP,Kwong_et_al,2011,Common,8,32.604,North_temper,-92.049,0.23,0.209317239
P65_43,AFLP,Kwong_et_al,2011,Common,14,34.643,North_temper,-89.971,0.26,0.227206926
P65_44,AFLP,Kwong_et_al,2011,Common,14,33.422,North_temper,-90.905,0.2,0.18448012
P65_45,AFLP,Kwong_et_al,2011,Common,16,36.468,North_temper,-89.316,0.28,0.199344804
P65_46,AFLP,Kwong_et_al,2011,Common,7,35.71,North_temper,-89.738,0.21,0.193310957
P65_47,AFLP,Kwong_et_al,2011,Common,7,29.994,North_temper,-93.358,0.36,0.206458419
P65_48,AFLP,Kwong_et_al,2011,Common,10,30.294,North_temper,-93.234,0.36,0.207533289
P65_49,AFLP,Kwong_et_al,2011,Common,14,30.222,North_temper,-91.906,0.36,0.214800345
P65_50,AFLP,Kwong_et_al,2011,Common,17,30.261,North_temper,-89.786,0.32,0.220759559
P65_51,AFLP,Kwong_et_al,2011,Common,14,33.069,North_temper,-96.959,0.3,0.189927725
P65_52,AFLP,Kwong_et_al,2011,Common,11,29.876,North_temper,-97.932,0.36,0.200994026
P67_1,ISSR,Chen_et_al,2005,Rare,26,43.324,North_temper,128.231,0.056,0.172857474
P67_2,ISSR,Chen_et_al,2005,Common,24,45.511,North_temper,131.856,0.068,0.104830729
P67_3,ISSR,Chen_et_al,2005,Common,26,45.793,North_temper,133.596,0.032,0.183711386
P67_4,ISSR,Chen_et_al,2005,Common,26,45.451,North_temper,132.282,0.044,0.131376879
P67_5,ISSR,Chen_et_al,2005,Common,22,45.451,North_temper,132.278,0.033,0.131252266
P67_6,ISSR,Chen_et_al,2005,Common,25,47.43,North_temper,133.309,0.049,0.17642216
P67_7,ISSR,Chen_et_al,2005,Common,22,48.349,North_temper,134.417,0.036,0.088044008
P67_8,ISSR,Chen_et_al,2005,Common,26,46.744,North_temper,134.023,0.017,0.18975827
P67_9,ISSR,Chen_et_al,2005,Common,26,44.115,North_temper,129.19,0.03,0.20154296
